work_id,duplicate_score,is_duplicate_flagged,duplicate_group_id,duplicate_group_size,best_match_work_id,geo_cluster_id,semantic_similarity,cost_similarity,date_proximity,geo_proximity,geo_distance_km,geo_precision_pair
C_263761,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263762,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263763,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263771,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263772,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263773,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263774,0.8680000119209289,True,1565,80,C_263758,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263781,0.8680000119209289,True,1565,80,C_263758,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263783,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263797,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263798,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263802,0.8680000119209289,True,1565,80,C_263759,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263823,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263824,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263825,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263841,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263845,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263846,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263847,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263848,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263849,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263851,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263852,0.8680000119209289,True,1565,80,C_263645,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263853,0.8680000119209289,True,1565,80,C_263645,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263854,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263855,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263856,0.8680000119209289,True,1565,80,C_263645,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263857,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263859,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263860,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263887,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263890,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263892,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263909,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263917,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263919,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263920,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263921,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263923,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263927,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263929,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263930,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263932,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263933,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263935,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_263972,0.8680000119209289,True,1565,80,C_263646,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_264900,0.8301155328837452,True,1348,106,C_238708,39,0.9338759,0.992418859048395,1.0,1.0,0.0,coarse_region_centroid
C_264904,0.8118337197695445,True,1348,106,C_238708,39,0.8984725,0.9983692123464103,1.0,1.0,0.0,coarse_region_centroid
C_267045,0.826195582341721,True,1503,4,C_267046,39,0.92595,0.9946153328397388,1.0,1.0,0.0,coarse_region_centroid
C_267046,0.826195582341721,True,1503,4,C_267045,39,0.92595,0.9946153328397388,1.0,1.0,0.0,coarse_region_centroid
C_267047,0.6813151793956757,True,1108,15,R_284365,39,0.844573,0.994,0.0,1.0,0.0,coarse_region_centroid
C_267048,0.7103743128607503,True,1503,4,C_267045,39,0.8053845,0.9359530322236307,0.6222222222222222,1.0,0.0,coarse_region_centroid
C_267052,0.6928102221859826,True,1108,15,R_284367,39,0.86215997,0.9253333333333333,0.15555555555555556,1.0,0.0,coarse_region_centroid
C_267053,0.0,False,-1,1,,39,,,,,,
C_267431,0.8680000119209289,True,1565,80,C_263647,53,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267553,0.669904248064169,True,1563,2,C_261175,63,0.845734,0.6226415094339622,0.6222222222222222,1.0,0.0,coarse_region_centroid
C_267555,0.7643654458522796,True,1371,82,C_267572,61,0.8115735,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267556,0.7860709540843963,True,1371,82,C_267572,61,0.8510381,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267557,0.7866566591262817,True,1371,82,C_267570,61,0.852103,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267558,0.8106677942276,True,1371,82,C_271372,61,0.8957596,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267559,0.795653603553772,True,1371,82,C_267558,61,0.90482473,1.0,0.8,1.0,0.0,coarse_region_centroid
C_267560,0.8032899312973022,True,1371,82,C_267574,61,0.8823453,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267561,0.7755875997543334,True,1371,82,C_267574,61,0.8319774,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267562,0.8127989284992218,True,1371,82,C_271395,61,0.8996344,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267563,0.7802541666030883,True,1371,82,C_271395,61,0.8404621,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267564,0.7988309376239776,True,1371,82,C_267574,61,0.8742381,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267565,0.8385815434455871,True,1371,82,C_267570,61,0.94651186,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267566,0.8077415041923522,True,1371,82,C_267567,61,0.8904391,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267567,0.817706208705902,True,1371,82,C_267565,61,0.9085567,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267568,0.817963104724884,True,1371,82,C_267565,61,0.9090238,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267569,0.8171194009780883,True,1371,82,C_267570,61,0.9074898,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267570,0.8385815434455871,True,1371,82,C_267565,61,0.94651186,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267571,0.7987712244987488,True,1371,82,C_271396,61,0.91049314,1.0,0.8,1.0,0.0,coarse_region_centroid
C_267572,0.8251943998336791,True,1371,82,C_267570,61,0.92217165,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267573,0.8207092695236206,True,1371,82,C_271397,61,0.9140168,1.0,1.0,1.0,0.0,coarse_region_centroid
C_267574,0.8168682866096496,True,1371,82,C_271395,61,0.9070332,1.0,1.0,1.0,0.0,coarse_region_centroid
C_268859,0.8553638272285461,True,1567,13,C_268861,43,0.9770251,1.0,1.0,1.0,0.0,coarse_region_centroid
C_268860,0.8215953521728515,True,1567,13,C_268859,43,0.9156279,1.0,1.0,1.0,0.0,coarse_region_centroid
C_268861,0.8553638272285461,True,1567,13,C_268859,43,0.9770251,1.0,1.0,1.0,0.0,coarse_region_centroid
C_268862,0.8498487882614135,True,1567,13,C_268861,43,0.96699774,1.0,1.0,1.0,0.0,coarse_region_centroid
C_270228,0.0,False,-1,1,,54,,,,,,
C_270229,0.0,False,-1,1,,54,,,,,,
C_271372,0.8106677942276,True,1371,82,C_267558,61,0.8957596,1.0,1.0,1.0,0.0,coarse_region_centroid
C_271393,0.7881345562934875,True,1371,82,C_271394,61,0.8547901,1.0,1.0,1.0,0.0,coarse_region_centroid
C_271394,0.7881345562934875,True,1371,82,C_271393,61,0.8547901,1.0,1.0,1.0,0.0,coarse_region_centroid
C_271395,0.820922236919403,True,1371,82,C_267565,61,0.91440403,1.0,1.0,1.0,0.0,coarse_region_centroid
C_271396,0.8129908256530761,True,1371,82,C_267574,61,0.8999833,1.0,1.0,1.0,0.0,coarse_region_centroid
C_271397,0.8207092695236206,True,1371,82,C_267573,61,0.9140168,1.0,1.0,1.0,0.0,coarse_region_centroid
C_272897,0.8290032558441162,True,1047,86,C_272898,48,0.9290968,1.0,1.0,1.0,0.0,coarse_region_centroid
C_272898,0.8290032558441162,True,1047,86,C_272897,48,0.9290968,1.0,1.0,1.0,0.0,coarse_region_centroid
C_273444,0.724064143082755,True,1570,3,R_273445,60,0.93874514,0.9487714285714286,0.0,1.0,0.0,coarse_region_centroid
C_273453,0.0,False,-1,1,,60,,,,,,
C_273454,0.0,False,-1,1,,60,,,,,,
C_273926,0.0,False,-1,1,,50,,,,,,
C_274814,0.0,False,-1,1,,64,,,,,,
C_275176,0.8179422430992126,True,1265,29,C_279711,54,0.90898585,1.0,1.0,1.0,0.0,coarse_region_centroid
C_275177,0.80535973238945,True,1265,29,C_279715,54,0.8861086,1.0,1.0,1.0,0.0,coarse_region_centroid
C_275178,0.8001113944053649,True,1265,29,C_279711,54,0.8765662,1.0,1.0,1.0,0.0,coarse_region_centroid
C_275372,0.6898568973708052,True,1402,19,C_222070,57,0.7738082,0.7313119436144329,1.0,1.0,0.0,coarse_region_centroid
C_275680,0.7031754809050522,True,964,2,C_136934,36,0.7195762,0.9914872795155123,0.9111111111111111,1.0,0.0,coarse_region_centroid
C_276188,0.7461200197287073,True,1399,60,C_222034,57,0.7843869,0.9835361674168063,1.0,1.0,0.0,coarse_region_centroid
C_277872,0.8680000119209289,True,1038,22,C_277873,41,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_277873,0.8680000119209289,True,1038,22,C_277872,41,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279708,0.8199227266311645,True,1265,29,C_279718,54,0.91258675,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279709,0.8359042816162109,True,1265,29,C_279711,54,0.94164413,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279710,0.8263106160163879,True,1265,29,C_279721,54,0.92420113,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279711,0.8421947174072265,True,1265,29,C_279718,54,0.95308125,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279712,0.8331019692420959,True,1265,29,C_279711,54,0.93654907,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279713,0.8527064733505249,True,1265,29,C_279715,54,0.9721936,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279714,0.8211449794769287,True,1265,29,C_279717,54,0.914809,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279715,0.8527064733505249,True,1265,29,C_279713,54,0.9721936,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279716,0.8269633046256171,True,1265,29,C_279711,54,0.9294282,1.0,0.9777777777777777,1.0,0.0,coarse_region_centroid
C_279717,0.8231664113998413,True,1265,29,C_279712,54,0.9184844,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279718,0.8421947174072265,True,1265,29,C_279711,54,0.95308125,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279719,0.8189053945541381,True,1265,29,C_279712,54,0.91073704,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279720,0.7957522860633002,True,1265,29,C_279719,54,0.8726809,1.0,0.9777777777777777,1.0,0.0,coarse_region_centroid
C_279721,0.8308844380378723,True,1265,29,C_279712,54,0.9325172,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279723,0.8346666507720947,True,1265,29,C_279718,54,0.9393939,1.0,1.0,1.0,0.0,coarse_region_centroid
C_279724,0.8338511400222778,True,1265,29,C_279711,54,0.93791115,1.0,1.0,1.0,0.0,coarse_region_centroid
C_282567,0.8176205314000448,True,1567,13,C_283999,43,0.9568858,1.0,0.7333333333333334,1.0,0.0,coarse_region_centroid
C_282568,0.8263823545773824,True,1567,13,C_283998,43,0.9728164,1.0,0.7333333333333334,1.0,0.0,coarse_region_centroid
C_283994,0.8497910313606262,True,1567,13,C_283997,43,0.9668928,1.0,1.0,1.0,0.0,coarse_region_centroid
C_283995,0.8420976214408874,True,1567,13,C_283999,43,0.9529047,1.0,1.0,1.0,0.0,coarse_region_centroid
C_283996,0.7705684118270874,True,1567,13,C_283997,43,0.82285166,1.0,1.0,1.0,0.0,coarse_region_centroid
C_283997,0.8497910313606262,True,1567,13,C_283994,43,0.9668928,1.0,1.0,1.0,0.0,coarse_region_centroid
C_283998,0.8263823545773824,True,1567,13,C_282568,43,0.9728164,1.0,0.7333333333333334,1.0,0.0,coarse_region_centroid
C_283999,0.8420976214408874,True,1567,13,C_283995,43,0.9529047,1.0,1.0,1.0,0.0,coarse_region_centroid
C_284000,0.8038208298683166,True,1567,13,C_283998,43,0.88331056,1.0,1.0,1.0,0.0,coarse_region_centroid
C_284373,0.6810505419672531,True,1401,22,C_253696,57,0.7176026,0.9862898857565399,0.7111111111111111,1.0,0.0,coarse_region_centroid
C_155610,0.7819914791450501,True,1575,26,R_215740,65,0.87900996,0.9360133333333334,0.9333333333333333,1.0,0.0,coarse_region_centroid
C_162906,0.0,False,-1,1,,65,,,,,,
C_165132,0.8532806982617994,True,1577,2,C_165133,65,0.9745644,0.9963512704876162,1.0,1.0,0.0,coarse_region_centroid
C_165133,0.8532806982617994,True,1577,2,C_165132,65,0.9745644,0.9963512704876162,1.0,1.0,0.0,coarse_region_centroid
C_165136,0.8109759068726838,True,1578,4,C_175987,65,0.96722317,0.8050157047506871,1.0,1.0,0.0,coarse_region_centroid
C_175985,0.7745583360452972,True,1575,26,C_197670,65,0.8676306,0.8968074680663755,1.0,1.0,0.0,coarse_region_centroid
C_175987,0.8507394934182205,True,1578,4,C_175990,65,0.9879676,0.9467866280102921,1.0,1.0,0.0,coarse_region_centroid
C_175989,0.8045508143763348,True,1578,4,C_165136,65,0.959093,0.7952482425474152,1.0,1.0,0.0,coarse_region_centroid
C_175990,0.8507394934182205,True,1578,4,C_175987,65,0.9879676,0.9467866280102921,1.0,1.0,0.0,coarse_region_centroid
C_175992,0.0,False,-1,1,,65,,,,,,
C_175997,0.7661373796874152,True,1580,17,R_227262,65,0.9496865,0.6734933333333333,0.9111111111111111,1.0,0.0,coarse_region_centroid
C_175999,0.7422208766329408,True,1575,26,C_176000,65,0.8842331,0.6894633111298679,1.0,1.0,0.0,coarse_region_centroid
C_176000,0.7873332921097432,True,1575,26,C_197670,65,0.87287366,0.9462638848174385,1.0,1.0,0.0,coarse_region_centroid
C_176003,0.0,False,-1,1,,65,,,,,,
C_185777,0.0,False,-1,1,,65,,,,,,
C_197667,0.7376821022344318,True,1580,17,R_215736,65,0.95003814,0.9858057142857143,0.0,1.0,0.0,coarse_region_centroid
C_197669,0.7282849885088603,True,1580,17,R_298777,65,0.9326806,0.9865533333333333,0.0,1.0,0.0,coarse_region_centroid
C_197670,0.7873332921097432,True,1575,26,C_176000,65,0.87287366,0.9462638848174385,1.0,1.0,0.0,coarse_region_centroid
C_203606,0.0,False,-1,1,,65,,,,,,
C_207469,0.0,False,-1,1,,65,,,,,,
C_207470,0.6805408273401379,True,1580,17,C_197667,65,0.9258704,0.26656030687814936,1.0,1.0,0.0,coarse_region_centroid
C_207472,0.0,False,-1,1,,65,,,,,,
C_219100,0.0,False,-1,1,,65,,,,,,
C_227209,0.6972805351812681,True,1587,2,R_257354,65,0.8292594,0.7937170263788969,0.6444444444444444,1.0,0.0,coarse_region_centroid
C_227211,0.0,False,-1,1,,65,,,,,,
C_227235,0.0,False,-1,1,,65,,,,,,
C_227238,0.7396455341888666,True,1575,26,C_197670,65,0.9503621,0.9947317846184969,0.0,1.0,0.0,coarse_region_centroid
C_232686,0.0,False,-1,1,,65,,,,,,
C_232687,0.0,False,-1,1,,65,,,,,,
C_256848,0.7236083396771749,True,1592,2,R_203607,65,0.92022365,0.9974266666666667,0.0,1.0,0.0,coarse_region_centroid
C_286674,0.0,False,-1,1,,65,,,,,,
C_134629,0.0,False,-1,1,,66,,,,,,
C_134630,0.0,False,-1,1,,66,,,,,,
C_134631,0.0,False,-1,1,,66,,,,,,
C_134632,0.683936955081092,True,1597,2,C_134633,66,0.77847123,1.0,0.37777777777777777,1.0,0.0,coarse_region_centroid
C_134633,0.683936955081092,True,1597,2,C_134632,66,0.77847123,1.0,0.37777777777777777,1.0,0.0,coarse_region_centroid
C_134638,0.0,False,-1,1,,66,,,,,,
C_134644,0.0,False,-1,1,,66,,,,,,
C_134646,0.0,False,-1,1,,66,,,,,,
C_134649,0.0,False,-1,1,,66,,,,,,
C_134655,0.0,False,-1,1,,66,,,,,,
C_134658,0.0,False,-1,1,,66,,,,,,
C_134660,0.0,False,-1,1,,66,,,,,,
C_134661,0.6787989707258012,True,1605,8,C_149059,66,0.7206446,1.0,0.6444444444444444,1.0,0.0,coarse_region_centroid
C_134665,0.0,False,-1,1,,66,,,,,,
C_134666,0.0,False,-1,1,,66,,,,,,
C_134668,0.0,False,-1,1,,66,,,,,,
C_134670,0.0,False,-1,1,,66,,,,,,
C_134671,0.0,False,-1,1,,66,,,,,,
C_134672,0.0,False,-1,1,,66,,,,,,
C_134673,0.0,False,-1,1,,66,,,,,,
C_134674,0.0,False,-1,1,,66,,,,,,
C_135168,0.8680000119209289,True,1614,3,C_135169,66,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_135169,0.8680000119209289,True,1614,3,C_135168,66,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_135170,0.854205768585205,True,1614,3,C_135169,66,0.97491956,1.0,1.0,1.0,0.0,coarse_region_centroid
C_135505,0.7906403653621673,True,1615,49,C_135507,67,0.8593461,1.0,1.0,1.0,0.0,coarse_region_centroid
C_135506,0.8114525191783905,True,1615,49,C_135507,67,0.8971864,1.0,1.0,1.0,0.0,coarse_region_centroid
C_135507,0.8114525191783905,True,1615,49,C_135506,67,0.8971864,1.0,1.0,1.0,0.0,coarse_region_centroid
C_135508,0.7233696582904392,True,1615,49,C_158159,67,0.81349957,0.9119466666666667,0.7555555555555555,1.0,0.0,coarse_region_centroid
C_137679,0.7372904584337693,True,1616,10,C_137689,66,0.8762243,0.9979465455128519,0.37777777777777777,1.0,0.0,coarse_region_centroid
C_137680,0.7431755425041839,True,1616,10,C_137688,66,0.80953944,0.8996442301600798,1.0,1.0,0.0,coarse_region_centroid
C_137687,0.7491246490478516,True,1617,9,C_141794,66,0.8565903,1.0,0.6,1.0,0.0,coarse_region_centroid
C_137688,0.7712025948861513,True,1616,10,C_137689,66,0.84843385,0.9994865177568162,0.8666666666666667,1.0,0.0,coarse_region_centroid
C_137689,0.7970327991428375,True,1616,10,C_137691,66,0.8839796,0.9975533333333333,0.9333333333333333,1.0,0.0,coarse_region_centroid
C_137691,0.7970327991428375,True,1616,10,C_137689,66,0.8839796,0.9975533333333333,0.9333333333333333,1.0,0.0,coarse_region_centroid
C_137692,0.7692202716963026,True,1616,10,C_145245,66,0.8530413,0.9991266666666667,0.8222222222222222,1.0,0.0,coarse_region_centroid
C_140532,0.7138310723304748,True,1618,15,R_156841,68,0.901511,1.0,0.0,1.0,0.0,coarse_region_centroid
C_140533,0.7675562257830302,True,1619,23,C_140537,68,0.9473628,0.9758666666666667,0.33333333333333337,1.0,0.0,coarse_region_centroid
