Work ID,State,district,category,quantity,unit,sanction_amount,unit_cost,sor_rate,expected_cost,cost_deviation_pct,sor_match_confidence,is_anomaly_injected,Work Description,Original Category,MP Name,House,Completed Date,Has Images,Average Rating,IDA,Anomaly_Label,Anomaly_Score,Predicted_Anomaly,latitude,longitude,image_hash,Text_Similarity_Anomaly,Geo_Cluster_Anomaly,Image_Forensic_Anomaly,Composite_Duplicate_Risk
134703,Andhra Pradesh,CHITTOOR,Road Construction,142.96,sq_meters,499993.0,3497.4,3049.96,436025.68,0.1467,0.736,False,Upgradation of Road from Madhavaram Village to Company Indlu of Madhavaram GP,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-31T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.1944233814268819,False,18.922975676145803,95.60247155922971,baa50acea919eea7,False,False,False,0
135593,Andhra Pradesh,CHITTOOR,Road Construction,133.45,sq_meters,448722.0,3362.37,3237.95,432117.32,0.0384,0.728,False,Construction of CC Road from Amudala Village to AmudalaHW in Amudala Village&GP of Palasamudram MAndal of GD Nellore Constituency,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-12-05T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.2192920769083917,False,18.90011875947708,95.64055401620064,a91fa38a7c24802d,False,False,False,0
135595,Andhra Pradesh,CHITTOOR,Road Construction,212.9,sq_meters,448970.0,2108.78,2127.73,453004.1,-0.0089,0.947,False,Construction of CC road from Amudala Village to Amudala ST colony in Amudala Village & GP of Palasamudram Mandal of GD Nelloore Constituency,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-12-05T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.2069298462707065,False,18.811597048345348,95.5685998786162,2f5078215c40beb8,False,False,False,0
135639,Andhra Pradesh,CHITTOOR,Drainage,276.67,meters,440871.0,1593.49,1629.64,450871.17,-0.0222,0.852,False,Construction of Under Ground Drainage at Thalaripalli HW(Reach 1) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-08-20T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.1930961265005294,False,18.80590533493743,95.66824848748689,cc659d3aaf3b0f28,True,False,False,1
135640,Andhra Pradesh,CHITTOOR,Drainage,265.56,meters,500000.0,1882.79,1888.19,501434.69,-0.0029,0.954,False,Construction of Under Ground Draiange at Thalaripalli HW(Reach II) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nellore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-03-03T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.1992913414727453,False,18.950475314510836,95.47860024816127,232d8fdd9610c1d0,False,False,False,0
135641,Andhra Pradesh,CHITTOOR,Drainage,189.33,meters,489209.0,2583.93,2755.91,521770.52,-0.0624,0.819,False,Construction of Under Ground Drainage at Thalaripalli HW (Reach III) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-03-03T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.2131500478116425,False,18.902778481076652,95.6557645493707,1e3c208d8e99d155,True,False,False,1
135642,Andhra Pradesh,CHITTOOR,Drainage,252.7,meters,477866.0,1891.07,1959.1,495054.64,-0.0347,0.752,False,"Construction of Under Ground Drainage at Penumuru Town (Reach I)& GP, Penumuru Mandal of GD Nelloore Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-02-08T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.1993494712887956,False,18.797778515598978,95.5843039319981,5dd412fb5e8784db,True,False,False,1
135643,Andhra Pradesh,CHITTOOR,Drainage,103.89,meters,200000.0,1925.07,1944.21,201988.4,-0.0098,0.811,False,"Construction of Under Ground Drainage at Penumuru Town (Reach II)&GP, Penumuru Mandal of GD Nelloore Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-02-08T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.1947877238109785,False,18.94476110609112,95.47750408160474,2fbdc0def7e967ae,True,False,False,1
135645,Andhra Pradesh,CHITTOOR,Road Construction,148.03,sq_meters,397837.0,2687.47,2366.47,350318.0,0.1356,0.784,False,"Construction of CC Road in Payanagaripalli HW Village at sathayma Temple to Venkatama House and Sumati House to Tirumalaiaha House and Venkateswara Temple to Hari House, Gundlapalli GP, Irala mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.2003236478014917,False,18.90114750002288,95.53018468736208,10d1282b13cc5931,False,False,False,0
135646,Andhra Pradesh,CHITTOOR,Road Construction,40.87,sq_meters,99809.0,2442.17,2630.15,107491.61,-0.0715,0.853,False,"Construction of CC Road at Hand Borewell to Sri Ramathirtha Sevashramam in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),1,0.2050209387881285,False,18.94654268564882,95.66492653492064,0bd64c6cac1218d7,False,False,False,0
